.2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Execution python script started.
2021-05-03 11:02:46,613 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 7233 records read from table:Gen2.
2021-05-03 11:02:47,100 - GW_IPM_RENRATIO REGIONAL AUTO INFO - ***Gen2 created successfully with 7233 records
2021-05-03 11:02:50,683 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Renew1 created successfully with 8446 records
2021-05-03 11:02:50,976 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 33369 records read from table:agent.
2021-05-03 11:02:50,976 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table AGENT created successfully with 33369 records and 14 columns.
2021-05-03 11:02:51,540 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 33369 records read from table:agent202102.
2021-05-03 11:02:51,551 - GW_IPM_RENRATIO REGIONAL AUTO INFO - agent created successfully with 33369 records
2021-05-03 11:02:51,692 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Connected to SQLite temporary work DB
2021-05-03 11:02:51,692 - GW_IPM_RENRATIO REGIONAL AUTO INFO - executing Renew2 table
2021-05-03 11:02:51,855 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table RENEW2 created successfully with 8446 records.
2021-05-03 11:02:51,855 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite working DB connection is closed.
2021-05-03 11:02:51,951 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 8446 records read from table:Renew2.
2021-05-03 11:02:51,957 - GW_IPM_RENRATIO REGIONAL AUTO INFO - ***Renew2 created successfully with 8446 records
2021-05-03 11:02:52,940 - GW_IPM_RENRATIO REGIONAL AUTO INFO - ***There were total 60900 records read from table:Renew6.
2021-05-03 11:02:53,205 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table HHLD1 created successfully with 32661 records and 31 columns.
2021-05-03 11:02:55,319 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 359695 records read from table:driver202102.
2021-05-03 11:02:55,319 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVER202102 created successfully with 359695 records and 43 columns.
2021-05-03 11:03:10,386 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 359695 records read from table:driver.
2021-05-03 11:03:10,674 - GW_IPM_RENRATIO REGIONAL AUTO INFO - driver created successfully with 359695 records
2021-05-03 11:03:14,403 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 310973 records read from table:drivergenii202102.
2021-05-03 11:03:14,403 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVERGENII202102 created successfully with 310973 records and 72 columns.
2021-05-03 11:03:23,658 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 359695 records read from table:driver.
2021-05-03 11:03:35,884 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 310973 records read from table:drivergenii.
2021-05-03 11:03:39,740 - GW_IPM_RENRATIO REGIONAL AUTO INFO - driver created successfully with 627923 records
2021-05-03 11:03:42,840 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 627923 records read from table:driver.
2021-05-03 11:03:43,040 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVER created successfully with 199969 records and 9 columns.
2021-05-03 11:03:47,958 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57047 records read from table:inforce202102.
2021-05-03 11:03:47,998 - GW_IPM_RENRATIO REGIONAL AUTO INFO - termincep created successfully with 57047 records
2021-05-03 11:04:36,515 - GW_IPM_RENRATIO REGIONAL AUTO INFO - termincep created successfully with 378172 records
2021-05-03 11:04:37,972 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 378172 records read from table:termincep.
2021-05-03 11:04:38,120 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table TERMINCEP created successfully with 199990 records and 5 columns.
2021-05-03 11:04:39,323 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Connected to SQLite temporary work DB
2021-05-03 11:04:39,323 - GW_IPM_RENRATIO REGIONAL AUTO INFO - executing Hhld2 table
2021-05-03 11:04:39,798 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table HHLD2 created successfully with 32661 records.
2021-05-03 11:04:39,798 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite working DB connection is closed.
2021-05-03 11:04:40,241 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 32661 records read from table:Hhld2.
2021-05-03 11:04:40,547 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Inf202102 created successfully with 32661 records
2021-05-03 11:04:41,953 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 32661 records read from table:Inf202012.
2021-05-03 11:04:42,195 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Inf202012 created successfully with 32661 records
2021-05-03 11:04:43,483 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 32661 records read from table:Inf202012.







2021-05-04 00:12:52,175 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Execution python script started.
2021-05-04 00:12:52,176 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Imported all necessary python modules.
2021-05-04 00:12:52,176 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite3 temporary work DB set up completed.
2021-05-04 00:12:52,176 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Global dictionary initiated to resolve SAS macro varaibles.
2021-05-04 00:12:52,888 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57892 records read from table:inforce202101.
2021-05-04 00:12:52,888 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCE202101 created successfully with 57892 records and 117 columns.
2021-05-04 00:12:59,223 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57892 records read from table:inforce.
2021-05-04 00:12:59,345 - GW_IPM_RENRATIO REGIONAL AUTO INFO - inforceG1 created successfully with 57892 records
2021-05-04 00:13:07,602 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 325790 records read from table:inforcegenii202101.
2021-05-04 00:13:07,603 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCEGENII202101 created successfully with 325790 records and 213 columns.
2021-05-04 00:14:18,852 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 325790 records read from table:inforcegenii.
2021-05-04 00:14:19,946 - GW_IPM_RENRATIO REGIONAL AUTO INFO - inforceG2 name created successfully with 325790 records
2021-05-04 00:14:22,354 - GW_IPM_RENRATIO REGIONAL AUTO INFO - InfRen202101 created successfully with 383682 records
